name,tpm_kallisto,count_kallisto,tpm_rsem_x,count_rsem_x,tpm_rsem_y,count_rsem_y
TRINITY_DN66_c0_g1_i1,182.326,132.0,150.73,86.0,150.73,86.0
TRINITY_DN60_c0_g1_i1,121.102,95.0,119.74,74.0,119.74,74.0
TRINITY_DN33_c0_g1_i7,143.009,126.791,113.84,79.47,113.84,79.47
TRINITY_DN33_c0_g1_i1,183.932,158.514,161.41,109.55,161.41,109.55
TRINITY_DN33_c0_g1_i4,78.541,69.634,105.77,73.84,105.77,73.84
TRINITY_DN33_c0_g1_i3,65.05,56.06,81.25,55.14,81.25,55.14
TRINITY_DN44_c0_g1_i1,268.536,965.0,271.8,767.0,271.8,767.0
TRINITY_DN25_c0_g1_i1,569.227,1975.0,564.47,1538.0,564.47,1538.0
TRINITY_DN45_c0_g1_i26,4.581,4.066,31.0,21.67,31.0,21.67
TRINITY_DN45_c0_g1_i7,65.238,78.411,47.42,44.83,47.42,44.83
TRINITY_DN45_c0_g1_i28,12.925,15.548,11.13,10.53,11.13,10.53
TRINITY_DN45_c0_g1_i11,38.101,59.811,60.08,74.15,60.08,74.15
TRINITY_DN45_c0_g1_i17,53.213,83.534,56.91,70.24,56.91,70.24
TRINITY_DN45_c0_g1_i1,118.291,182.055,87.59,105.98,87.59,105.98
TRINITY_DN45_c0_g1_i23,85.054,130.903,100.38,121.46,100.38,121.46
TRINITY_DN45_c0_g1_i21,54.865,38.089,50.25,27.5,50.25,27.5
TRINITY_DN45_c0_g1_i8,0.0,0.0,27.82,19.44,27.82,19.44
TRINITY_DN45_c0_g1_i25,15.706,17.585,13.84,12.2,13.84,12.2
TRINITY_DN61_c0_g1_i1,186.372,314.0,188.77,250.0,188.77,250.0
TRINITY_DN67_c0_g1_i1,238.074,98.0,236.57,77.0,236.57,77.0
TRINITY_DN67_c0_g2_i1,329.77,157.0,319.1,120.0,319.1,120.0
TRINITY_DN48_c0_g1_i1,139.928,647.0,141.31,513.0,141.31,513.0
TRINITY_DN70_c0_g1_i1,169.63,583.0,170.06,459.0,170.06,459.0
TRINITY_DN95_c0_g1_i2,138.274,137.538,114.93,89.98,114.93,89.98
TRINITY_DN95_c0_g1_i1,254.819,253.462,256.76,201.02,256.76,201.02
TRINITY_DN16_c0_g1_i2,382.096,1267.0,378.25,985.0,378.25,985.0
TRINITY_DN55_c0_g1_i1,227.192,834.0,225.14,649.0,225.14,649.0
TRINITY_DN96_c0_g1_i1,420.741,683.0,412.97,527.0,412.97,527.0
TRINITY_DN96_c0_g2_i6,23.915,37.992,32.04,40.01,32.04,40.01
TRINITY_DN96_c0_g2_i8,38.401,61.919,31.85,40.37,31.85,40.37
TRINITY_DN96_c0_g2_i5,230.772,366.61,222.45,277.82,222.45,277.82
TRINITY_DN96_c0_g2_i7,462.082,745.071,458.67,581.4,458.67,581.4
TRINITY_DN96_c0_g2_i4,49.192,64.636,53.25,55.03,53.25,55.03
TRINITY_DN96_c0_g2_i1,78.784,64.772,79.32,51.37,79.32,51.37
TRINITY_DN96_c0_g3_i1,30.855,45.652,48.32,56.21,48.32,56.21
TRINITY_DN96_c0_g3_i2,323.982,479.348,311.86,362.79,311.86,362.79
TRINITY_DN81_c0_g1_i1,226.182,1746.0,228.75,1386.0,228.75,1386.0
TRINITY_DN75_c0_g1_i1,138.036,301.0,137.74,236.0,137.74,236.0
TRINITY_DN14_c0_g1_i1,659.865,481.0,677.19,389.0,677.19,389.0
TRINITY_DN62_c0_g1_i1,101.009,246.0,97.74,187.0,97.74,187.0
TRINITY_DN8_c0_g1_i1,90.526,186.0,84.23,136.0,84.23,136.0
TRINITY_DN8_c1_g1_i1,503.806,640.0,500.41,500.0,500.41,500.0
TRINITY_DN8_c2_g1_i1,148.567,141.0,148.57,111.0,148.57,111.0
TRINITY_DN88_c0_g1_i1,194.344,323.0,190.59,249.0,190.59,249.0
TRINITY_DN98_c0_g1_i1,295.025,421.0,286.96,322.0,286.96,322.0
TRINITY_DN36_c0_g1_i6,79.656,104.585,85.53,88.32,85.53,88.32
TRINITY_DN36_c0_g1_i1,107.316,315.415,105.99,244.68,105.99,244.68
TRINITY_DN28_c0_g1_i1,80.071,96.0,79.52,75.0,79.52,75.0
TRINITY_DN28_c0_g2_i2,58.972,179.0,59.57,142.0,59.57,142.0
TRINITY_DN28_c0_g2_i1,44.075,41.0,42.33,31.0,42.33,31.0
TRINITY_DN28_c0_g2_i3,73.849,84.0,75.98,68.0,75.98,68.0
TRINITY_DN28_c0_g3_i1,76.788,278.0,74.92,213.0,74.92,213.0
TRINITY_DN28_c0_g4_i1,374.349,882.0,376.55,697.0,376.55,697.0
TRINITY_DN28_c0_g5_i1,335.239,377.0,333.4,295.0,333.4,295.0
TRINITY_DN28_c0_g6_i1,85.192,30.0,82.49,23.0,82.49,23.0
TRINITY_DN26_c0_g1_i1,434.768,623.0,421.56,475.0,421.56,475.0
TRINITY_DN30_c0_g1_i1,874.23,1290.0,887.76,1030.0,887.76,1030.0
TRINITY_DN30_c0_g2_i1,69.406,103.103,68.94,80.52,68.94,80.52
TRINITY_DN30_c0_g3_i1,304.612,451.897,297.89,347.48,297.89,347.48
TRINITY_DN72_c0_g1_i2,65.04,128.991,65.86,102.64,65.86,102.64
TRINITY_DN72_c0_g1_i1,19.591,16.009,22.3,14.36,22.3,14.36
TRINITY_DN38_c0_g1_i1,330.11,511.0,327.03,398.0,327.03,398.0
TRINITY_DN50_c0_g1_i1,309.538,264.0,293.3,197.0,293.3,197.0
TRINITY_DN34_c0_g1_i5,267.787,271.672,231.26,184.66,231.26,184.66
TRINITY_DN34_c0_g1_i6,355.851,265.744,326.14,191.91,326.14,191.91
TRINITY_DN34_c0_g1_i7,21.197,21.504,91.03,72.68,91.03,72.68
TRINITY_DN34_c0_g1_i2,98.876,100.311,85.75,68.47,85.75,68.47
