index	name	xprs_tpm_kallisto	xprs_count_kallisto	xprs_tpm_rsem_x	xprs_count_rsem_x	xprs_tpm_rsem_y	xprs_count_rsem_y	length	tr_good	tr_bases_covered	tr_seq_true	tr_score	tr_not_segmented	component_contribute_xprs_tpm_kallisto	component_contribute_xprs_count_kallisto	component_contribute_xprs_tpm_rsem_x	component_contribute_xprs_count_rsem_x	component_contribute_xprs_tpm_rsem_y	component_contribute_xprs_count_rsem_y	component_relative_xprs_tpm_kallisto	component_relative_xprs_count_kallisto	component_relative_xprs_tpm_rsem_x	component_relative_xprs_count_rsem_x	component_relative_xprs_tpm_rsem_y	component_relative_xprs_count_rsem_y	component	index_component	component_tot_xprs_tpm_kallisto	component_tot_xprs_count_kallisto	component_tot_xprs_tpm_rsem_x	component_tot_xprs_count_rsem_x	component_tot_xprs_tpm_rsem_y	component_tot_xprs_count_rsem_y	component_avg_xprs_tpm_kallisto	component_avg_xprs_count_kallisto	component_avg_xprs_tpm_rsem_x	component_avg_xprs_count_rsem_x	component_avg_xprs_tpm_rsem_y	component_avg_xprs_count_rsem_y	component_max_xprs_tpm_kallisto	component_max_xprs_count_kallisto	component_max_xprs_tpm_rsem_x	component_max_xprs_count_rsem_x	component_max_xprs_tpm_rsem_y	component_max_xprs_count_rsem_y	component_size	component_component
0	TRINITY_DN66_c0_g1_i1	182.326	132.0	150.73	86.0	150.73	86.0	911	0.717	1.0	0.919	0.632	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	182.326	132.0	150.73	86.0	150.73	86.0	182.326	132.0	150.73	86.0	150.73	86.0	182.326	132.0	150.73	86.0	150.73	86.0	1	0
1	TRINITY_DN60_c0_g1_i1	121.102	95.0	119.74	74.0	119.74	74.0	972	0.863	1.0	0.96	0.81	0.977	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	121.102	95.0	119.74	74.0	119.74	74.0	121.102	95.0	119.74	74.0	119.74	74.0	121.102	95.0	119.74	74.0	119.74	74.0	1	1
2	TRINITY_DN33_c0_g1_i7	143.009	126.791	113.84	79.47	113.84	79.47	1075	0.939	0.937	0.91	0.533	0.666	0.645	0.645	0.518	0.518	0.518	0.518	1.0	1.0	1.0	1.0	1.0	1.0	2	2	221.55	196.425	219.61	153.31	219.61	153.31	110.775	98.212	109.805	76.655	109.805	76.655	143.009	126.791	113.84	79.47	113.84	79.47	2	2
3	TRINITY_DN33_c0_g1_i1	183.932	158.514	161.41	109.55	161.41	109.55	1050	0.956	1.0	0.939	0.597	0.664	0.739	0.739	0.665	0.665	0.665	0.665	1.0	1.0	1.0	1.0	1.0	1.0	3	3	248.982	214.574	242.66	164.69	242.66	164.69	124.491	107.287	121.33	82.345	121.33	82.345	183.932	158.514	161.41	109.55	161.41	109.55	2	3
4	TRINITY_DN33_c0_g1_i4	78.541	69.634	105.77	73.84	105.77	73.84	1075	0.726	1.0	0.911	0.459	0.694	0.355	0.355	0.482	0.482	0.482	0.482	0.549	0.549	0.929	0.929	0.929	0.929	2	2	221.55	196.425	219.61	153.31	219.61	153.31	110.775	98.212	109.805	76.655	109.805	76.655	143.009	126.791	113.84	79.47	113.84	79.47	2	2
5	TRINITY_DN33_c0_g1_i3	65.05	56.06	81.25	55.14	81.25	55.14	1050	0.476	0.95	0.912	0.213	0.516	0.261	0.261	0.335	0.335	0.335	0.335	0.354	0.354	0.503	0.503	0.503	0.503	3	3	248.982	214.574	242.66	164.69	242.66	164.69	124.491	107.287	121.33	82.345	121.33	82.345	183.932	158.514	161.41	109.55	161.41	109.55	2	3
6	TRINITY_DN44_c0_g1_i1	268.536	965.0	271.8	767.0	271.8	767.0	3805	0.834	1.0	0.966	0.773	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4	4	268.536	965.0	271.8	767.0	271.8	767.0	268.536	965.0	271.8	767.0	271.8	767.0	268.536	965.0	271.8	767.0	271.8	767.0	1	4
7	TRINITY_DN25_c0_g1_i1	569.227	1975.0	564.47	1538.0	564.47	1538.0	3680	0.843	1.0	0.97	0.786	0.961	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5	5	569.227	1975.0	564.47	1538.0	564.47	1538.0	569.227	1975.0	564.47	1538.0	564.47	1538.0	569.227	1975.0	564.47	1538.0	564.47	1538.0	1	5
8	TRINITY_DN45_c0_g1_i26	4.581	4.066	31.0	21.67	31.0	21.67	1076	0.0	0.0	1.0	0.01	0.997	0.01	0.007	0.064	0.043	0.064	0.043	0.039	0.022	0.309	0.178	0.309	0.178	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
9	TRINITY_DN45_c0_g1_i7	65.238	78.411	47.42	44.83	47.42	44.83	1393	0.962	1.0	0.935	0.88	0.978	0.146	0.129	0.097	0.088	0.097	0.088	0.552	0.431	0.472	0.369	0.472	0.369	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
