contig_name,length,prop_gc,orf_length,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage,sCnuc,sCcov,sCord,sCseg
TRINITY_DN66_c0_g1_i1,911,0.46652,303,0,0.716535,1.0,0.91894,0.631858,0.95961,911,127.0,163.527,20.91,0.91894,1.0,0.716535,0.95961
TRINITY_DN60_c0_g1_i1,972,0.441358,304,0,0.863158,1.0,0.960159,0.80955,0.97681,972,96.0,115.853,14.81,0.960159,1.0,0.863158,0.97681
TRINITY_DN33_c0_g1_i7,1075,0.451163,332,0,0.939024,0.936744,0.910317,0.533404,0.66614,1075,128.087,139.765,17.87,0.910317,0.936744,0.939024,0.66614
TRINITY_DN33_c0_g1_i1,1050,0.460952,332,0,0.956204,1.0,0.939399,0.596806,0.664404,1050,218.256,243.826,31.18,0.939399,1.0,0.956204,0.664404
TRINITY_DN33_c0_g1_i4,1075,0.452093,332,3,0.726415,1.0,0.911081,0.459228,0.693883,1075,136.893,149.374,19.1,0.911081,1.0,0.726415,0.693883
TRINITY_DN33_c0_g1_i3,1050,0.460952,332,0,0.47619,0.950476,0.912292,0.212967,0.51577,1050,98.765,110.336,14.11,0.912292,0.950476,0.47619,0.51577
TRINITY_DN44_c0_g1_i1,3805,0.392904,1240,0,0.833859,1.0,0.965835,0.772764,0.959514,3805,954.0,294.101,37.61,0.965835,1.0,0.833859,0.959514
TRINITY_DN25_c0_g1_i1,3680,0.38587,1198,0,0.843367,1.0,0.970124,0.786418,0.96119,3680,1961.0,625.076,79.93,0.970124,1.0,0.843367,0.96119
TRINITY_DN45_c0_g1_i26,1076,0.415428,358,0,0,0.0,1,0.01,0.997424,1076,0.0,0.0,0.0,1,0.0,0,0.997424
TRINITY_DN45_c0_g1_i7,1393,0.421393,463,0,0.962264,1.0,0.934662,0.879655,0.978055,1393,75.9082,63.9205,8.17,0.934662,1.0,0.962264,0.978055
