name,tpm_kallisto,count_kallisto,tpm_rsem,count_rsem
TRINITY_DN66_c0_g1_i1,182.326,132.0,150.73,86.0
TRINITY_DN60_c0_g1_i1,121.102,95.0,119.74,74.0
TRINITY_DN33_c0_g1_i7,143.009,126.791,113.84,79.47
TRINITY_DN33_c0_g1_i1,183.932,158.514,161.41,109.55
TRINITY_DN33_c0_g1_i4,78.5414,69.6345,105.77,73.84
TRINITY_DN33_c0_g1_i3,65.0498,56.0604,81.25,55.14
TRINITY_DN44_c0_g1_i1,268.536,965.0,271.8,767.0
TRINITY_DN25_c0_g1_i1,569.227,1975.0,564.47,1538.0
TRINITY_DN45_c0_g1_i26,4.5808300000000015,4.06589,31.0,21.67
TRINITY_DN45_c0_g1_i7,65.2382,78.4106,47.42,44.83
TRINITY_DN45_c0_g1_i28,12.9252,15.5478,11.13,10.53
TRINITY_DN45_c0_g1_i11,38.1014,59.8109,60.08,74.15
TRINITY_DN45_c0_g1_i17,53.2134,83.5335,56.91,70.24
TRINITY_DN45_c0_g1_i1,118.291,182.055,87.59,105.98
TRINITY_DN45_c0_g1_i23,85.0545,130.903,100.38,121.46
TRINITY_DN45_c0_g1_i21,54.8648,38.0889,50.25,27.5
TRINITY_DN45_c0_g1_i8,0.0,0.0,27.82,19.44
TRINITY_DN45_c0_g1_i25,15.7062,17.5848,13.84,12.2
TRINITY_DN61_c0_g1_i1,186.372,314.0,188.77,250.0
TRINITY_DN67_c0_g1_i1,238.074,98.0,236.57,77.0
TRINITY_DN67_c0_g2_i1,329.77,157.0,319.1,120.0
TRINITY_DN48_c0_g1_i1,139.928,647.0,141.31,513.0
TRINITY_DN70_c0_g1_i1,169.63,583.0,170.06,459.0
TRINITY_DN95_c0_g1_i2,138.274,137.53799999999998,114.93,89.98
TRINITY_DN95_c0_g1_i1,254.819,253.462,256.76,201.02
TRINITY_DN16_c0_g1_i2,382.096,1267.0,378.25,985.0
TRINITY_DN55_c0_g1_i1,227.192,834.0,225.14,649.0
TRINITY_DN96_c0_g1_i1,420.741,683.0,412.97,527.0
TRINITY_DN96_c0_g2_i6,23.9153,37.9924,32.04,40.01
TRINITY_DN96_c0_g2_i8,38.4013,61.919,31.85,40.37
TRINITY_DN96_c0_g2_i5,230.772,366.61,222.45,277.82
TRINITY_DN96_c0_g2_i7,462.082,745.071,458.67,581.4
TRINITY_DN96_c0_g2_i4,49.1921,64.6364,53.25,55.03
TRINITY_DN96_c0_g2_i1,78.7839,64.7718,79.32,51.37
TRINITY_DN96_c0_g3_i1,30.8554,45.6522,48.32,56.21
TRINITY_DN96_c0_g3_i2,323.982,479.348,311.86,362.79
TRINITY_DN81_c0_g1_i1,226.182,1746.0,228.75,1386.0
TRINITY_DN75_c0_g1_i1,138.036,301.0,137.74,236.0
TRINITY_DN14_c0_g1_i1,659.865,481.0,677.19,389.0
TRINITY_DN62_c0_g1_i1,101.009,246.0,97.74,187.0
TRINITY_DN8_c0_g1_i1,90.5261,186.0,84.23,136.0
TRINITY_DN8_c1_g1_i1,503.806,640.0,500.41,500.0
TRINITY_DN8_c2_g1_i1,148.567,141.0,148.57,111.0
TRINITY_DN88_c0_g1_i1,194.344,323.0,190.59,249.0
TRINITY_DN98_c0_g1_i1,295.025,421.0,286.96,322.0
TRINITY_DN36_c0_g1_i6,79.6557,104.585,85.53,88.32
TRINITY_DN36_c0_g1_i1,107.316,315.415,105.99,244.68
TRINITY_DN28_c0_g1_i1,80.0709,96.0,79.52,75.0
