target_id	length	eff_length	est_counts	tpm
TRINITY_DN66_c0_g1_i1	911	730.14	132	182.326
TRINITY_DN60_c0_g1_i1	972	791.14	95	121.102
TRINITY_DN33_c0_g1_i7	1075	894.14	126.791	143.009
TRINITY_DN33_c0_g1_i1	1050	869.14	158.514	183.932
TRINITY_DN33_c0_g1_i4	1075	894.14	69.6345	78.5414
TRINITY_DN33_c0_g1_i3	1050	869.14	56.0604	65.0498
TRINITY_DN44_c0_g1_i1	3805	3624.14	965	268.536
TRINITY_DN25_c0_g1_i1	3680	3499.14	1975	569.227
TRINITY_DN45_c0_g1_i26	1076	895.14	4.06589	4.58083
TRINITY_DN45_c0_g1_i7	1393	1212.14	78.4106	65.2382
TRINITY_DN45_c0_g1_i28	1394	1213.14	15.5478	12.9252
TRINITY_DN45_c0_g1_i11	1764	1583.14	59.8109	38.1014
TRINITY_DN45_c0_g1_i17	1764	1583.14	83.5335	53.2134
TRINITY_DN45_c0_g1_i1	1733	1552.14	182.055	118.291
TRINITY_DN45_c0_g1_i23	1733	1552.14	130.903	85.0545
TRINITY_DN45_c0_g1_i21	881	700.14	38.0889	54.8648
TRINITY_DN45_c0_g1_i8	1076	895.14	0	0
TRINITY_DN45_c0_g1_i25	1310	1129.14	17.5848	15.7062
TRINITY_DN61_c0_g1_i1	1880	1699.14	314	186.372
TRINITY_DN67_c0_g1_i1	596	415.14	98	238.074
TRINITY_DN67_c0_g2_i1	661	480.14	157	329.77
TRINITY_DN48_c0_g1_i1	4844	4663.14	647	139.928
TRINITY_DN70_c0_g1_i1	3647	3466.14	583	169.63
TRINITY_DN95_c0_g1_i2	1184	1003.14	137.538	138.274
TRINITY_DN95_c0_g1_i1	1184	1003.14	253.462	254.819
TRINITY_DN16_c0_g1_i2	3525	3344.14	1267	382.096
TRINITY_DN55_c0_g1_i1	3883	3702.14	834	227.192
TRINITY_DN96_c0_g1_i1	1818	1637.14	683	420.741
TRINITY_DN96_c0_g2_i6	1783	1602.14	37.9924	23.9153
TRINITY_DN96_c0_g2_i8	1807	1626.14	61.919	38.4013
TRINITY_DN96_c0_g2_i5	1783	1602.14	366.61	230.772
TRINITY_DN96_c0_g2_i7	1807	1626.14	745.071	462.082
TRINITY_DN96_c0_g2_i4	1506	1325.14	64.6364	49.1921
TRINITY_DN96_c0_g2_i1	1010	829.14	64.7718	78.7839
TRINITY_DN96_c0_g3_i1	1673	1492.14	45.6522	30.8554
TRINITY_DN96_c0_g3_i2	1673	1492.14	479.348	323.982
TRINITY_DN81_c0_g1_i1	7966	7785.14	1746	226.182
TRINITY_DN75_c0_g1_i1	2380	2199.14	301	138.036
TRINITY_DN14_c0_g1_i1	916	735.14	481	659.865
TRINITY_DN62_c0_g1_i1	2637	2456.14	246	101.009
TRINITY_DN8_c0_g1_i1	2253	2072.14	186	90.5261
TRINITY_DN8_c1_g1_i1	1462	1281.14	640	503.806
TRINITY_DN8_c2_g1_i1	1138	957.14	141	148.567
TRINITY_DN88_c0_g1_i1	1857	1676.14	323	194.344
TRINITY_DN98_c0_g1_i1	1620	1439.14	421	295.025
TRINITY_DN36_c0_g1_i6	1505	1324.14	104.585	79.6557
TRINITY_DN36_c0_g1_i1	3145	2964.14	315.415	107.316
TRINITY_DN28_c0_g1_i1	1390	1209.14	96	80.0709
TRINITY_DN28_c0_g2_i2	3242	3061.14	179	58.9725
TRINITY_DN28_c0_g2_i1	1119	938.14	41	44.0754
TRINITY_DN28_c0_g2_i3	1328	1147.14	84	73.8487
TRINITY_DN28_c0_g3_i1	3832	3651.14	278	76.7885
TRINITY_DN28_c0_g4_i1	2557	2376.14	882	374.349
TRINITY_DN28_c0_g5_i1	1315	1134.14	377	335.239
TRINITY_DN28_c0_g6_i1	536	355.14	30	85.1925
TRINITY_DN26_c0_g1_i1	1626	1445.14	623	434.768
TRINITY_DN30_c0_g1_i1	1669	1488.14	1290	874.23
TRINITY_DN30_c0_g2_i1	1679	1498.14	103.103	69.4065
TRINITY_DN30_c0_g3_i1	1677	1496.14	451.897	304.612
TRINITY_DN72_c0_g1_i2	2181	2000.14	128.991	65.0396
TRINITY_DN72_c0_g1_i1	1005	824.14	16.0093	19.5908
TRINITY_DN38_c0_g1_i1	1742	1561.14	511	330.11
TRINITY_DN50_c0_g1_i1	1041	860.14	264	309.538
TRINITY_DN34_c0_g1_i5	1204	1023.14	271.672	267.787
TRINITY_DN34_c0_g1_i6	934	753.14	265.744	355.851
TRINITY_DN34_c0_g1_i7	1204	1023.14	21.5042	21.1966
TRINITY_DN34_c0_g1_i2	1204	1023.14	100.311	98.8763
TRINITY_DN34_c0_g1_i4	1204	1023.14	169.861	167.432
TRINITY_DN34_c0_g2_i1	1295	1114.14	177.908	161.04
TRINITY_DN74_c0_g1_i1	1401	1220.14	144	119.023
TRINITY_DN15_c0_g1_i1	3791	3610.14	1636	457.024
TRINITY_DN73_c0_g1_i1	1826	1645.14	340	208.428
TRINITY_DN94_c0_g1_i1	2191	2010.14	706	354.208
TRINITY_DN94_c0_g2_i1	946	765.14	79	104.128
TRINITY_DN57_c0_g1_i1	2500	2319.14	410	178.294
TRINITY_DN32_c0_g2_i2	1442	1261.14	13.8412	11.0685
TRINITY_DN32_c0_g2_i4	2229	2048.14	463.986	228.468
TRINITY_DN32_c0_g2_i6	717	536.14	30.4958	57.3643
TRINITY_DN32_c0_g2_i1	2076	1895.14	0	0
TRINITY_DN32_c0_g2_i3	1625	1444.14	290.677	202.993
TRINITY_DN32_c0_g1_i4	1343	1162.14	197.51	171.399
TRINITY_DN32_c0_g1_i7	1346	1165.14	77.9787	67.4959
TRINITY_DN32_c0_g1_i5	1067	886.14	226.134	257.361
TRINITY_DN32_c0_g1_i11	932	751.14	0	0
TRINITY_DN32_c0_g1_i2	892	711.14	40.1498	56.9388
