transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
TRINITY_DN0_c0_g1_i10	TRINITY_DN0_c0_g1_i10	3929	3751.39	0.00	0.00	0.00	100.00
TRINITY_DN0_c0_g1_i11	TRINITY_DN0_c0_g1_i11	1298	1120.39	60.07	68.92	45.94	100.00
TRINITY_DN0_c0_g1_i12	TRINITY_DN0_c0_g1_i12	5104	4926.39	3520.59	918.62	612.35	100.00
TRINITY_DN0_c0_g1_i15	TRINITY_DN0_c0_g1_i15	3929	3751.39	402.25	137.83	91.88	100.00
TRINITY_DN0_c0_g1_i3	TRINITY_DN0_c0_g1_i3	5324	5146.39	14850.51	3709.28	2472.58	100.00
TRINITY_DN0_c0_g1_i5	TRINITY_DN0_c0_g1_i5	3929	3751.39	975.74	334.34	222.87	100.00
TRINITY_DN0_c0_g1_i6	TRINITY_DN0_c0_g1_i6	5059	4881.39	4635.48	1220.68	813.70	100.00
TRINITY_DN0_c0_g1_i7	TRINITY_DN0_c0_g1_i7	5405	5227.39	8794.80	2162.68	1441.63	100.00
TRINITY_DN0_c0_g1_i8	TRINITY_DN0_c0_g1_i8	5324	5146.39	830.25	207.38	138.24	100.00
TRINITY_DN0_c0_g1_i9	TRINITY_DN0_c0_g1_i9	3929	3751.39	0.00	0.00	0.00	100.00
TRINITY_DN1000_c0_g1_i1	TRINITY_DN1000_c0_g1_i1	1115	937.39	123.00	168.67	112.43	100.00
TRINITY_DN1001_c0_g1_i1	TRINITY_DN1001_c0_g1_i1	1416	1238.39	86.00	89.27	59.50	100.00
TRINITY_DN1002_c0_g1_i1	TRINITY_DN1002_c0_g1_i1	921	743.39	36.00	62.25	41.50	100.00
TRINITY_DN1003_c0_g1_i1	TRINITY_DN1003_c0_g1_i1	1683	1505.39	97.00	82.83	55.21	100.00
TRINITY_DN1004_c0_g1_i1	TRINITY_DN1004_c0_g1_i1	1243	1065.39	59.00	71.19	47.45	100.00
TRINITY_DN1005_c0_g1_i1	TRINITY_DN1005_c0_g1_i1	1302	1124.39	117.00	133.76	89.16	100.00
TRINITY_DN1006_c0_g1_i1	TRINITY_DN1006_c0_g1_i1	5681	5503.39	315.00	73.58	49.04	100.00
TRINITY_DN1007_c0_g1_i1	TRINITY_DN1007_c0_g1_i1	946	768.39	53.00	88.66	59.10	100.00
TRINITY_DN1008_c0_g1_i1	TRINITY_DN1008_c0_g1_i1	628	450.39	28.00	79.91	53.27	100.00
TRINITY_DN1009_c0_g1_i1	TRINITY_DN1009_c0_g1_i1	587	409.39	16.00	50.24	33.49	100.00
TRINITY_DN100_c0_g1_i1	TRINITY_DN100_c0_g1_i1	4697	4519.39	465.00	132.26	88.16	100.00
